id,sub_category,parts,model
79344e66-357f-471d-85de-555118a8e3ed,water closet/western toilet,"['water_tank', 'flush_handle', 'seat', 'bowl', 'seat_cover']",toilet
e128000b-8658-462c-8f94-755d51d7a011,water closet/western toilet,"['seat_cover', 'seat', 'bowl']",toilet
1813ef4d-e048-405e-a2ba-e7b950b23400,water closet/western toilet,"['seat', 'water_tank', 'bowl', 'seat_cover', 'flush_push_button', 'tank_cover']",toilet
1c585ed7-fbdc-4d29-99bf-2727a0206c4f,water closet/western toilet,"['water_tank', 'bowl', 'seat_cover', 'tank_cover', 'seat', 'flush_push_button']",toilet
29f21390-ea02-4bf4-876f-59e8679cd91e,water closet/western toilet,"['seat', 'bowl', 'seat_cover']",toilet
88d24742-6501-4ec8-b951-70120f023286,water closet/western toilet,"['water_tank', 'tank_cover', 'seat', 'flush_push_button', 'bowl', 'seat_cover']",toilet
1909a62f-e7e8-4c7e-bb39-9aa6850f93dd,water closet/western toilet,"['bowl', 'seat_cover', 'seat']",toilet
1d59eef0-c299-4ef5-a02f-257267b9ed36,water closet/western toilet,"['flush_push_button', 'seat_cover', 'seat', 'bowl', 'tank_cover', 'water_tank']",toilet
5b72561e-812c-4133-9233-a9699381865e,water closet/western toilet,"['tank_cover', 'water_tank', 'seat', 'seat_cover', 'flush_push_button', 'bowl']",toilet
4731a6e4-fdaa-4ed5-831b-a25bf228288a,water closet/western toilet,"['seat', 'seat_cover', 'bowl']",toilet
1ca848c1-a01e-4296-90d6-a7ea7c198234,water closet/western toilet,"['seat', 'seat_cover', 'bowl', 'flush_push_button', 'tank_cover', 'water_tank']",toilet
7bfca964-069d-4d16-a4e2-259d469fe53a,water closet/western toilet,"['seat', 'seat_cover', 'bowl']",toilet
5f28e1cd-f95d-40aa-bb52-142cfa33e16b,car,"['side_windows', 'rear_window', 'grill', 'windshield', 'number_plate', 'doors', 'wheel', 'rear_view_mirror', 'wiper', 'roof', 'bottom', 'headlight', 'trunk', 'handle', 'hood', 'taillight']",car
6411ba2a-f4e5-4b6e-9d4c-8bc7a48b5f3a,water closet/western toilet,"['bowl', 'seat_cover', 'seat', 'tank_cover', 'water_tank', 'flush_push_button']",toilet
d8819724-4a97-4de2-972e-0dcbd1196b30,car,"['headlight', 'roof', 'grill', 'taillight', 'number_plate', 'windshield', 'wheel', 'rear_window', 'side_windows', 'rear_view_mirror', 'hood', 'doors', 'trunk', 'bottom']",car
6a009f9f-018f-4400-b6cd-7df4682fed7b,car,"['bottom', 'seat', 'wiper', 'taillight', 'wheel', 'hood', 'grill', 'windshield', 'side_windows', 'roof', 'headlight', 'rear_window', 'rear_view_mirror', 'trunk', 'doors']",car
a331385a-d0cb-472a-a7eb-f54df561f6b7,car,"['side_windows', 'trunk', 'handle', 'wiper', 'hood', 'doors', 'headlight', 'seat', 'rear_view_mirror', 'taillight', 'wheel', 'rear_window', 'roof', 'bottom', 'windshield', 'grill']",car
176ee357-1cc5-4ad6-ab00-807f0b44c88b,car,"['trunk', 'roof', 'taillight', 'side_windows', 'rear_window', 'headlight', 'hood', 'grill', 'rear_view_mirror', 'handle', 'wiper', 'wheel', 'number_plate', 'doors', 'bottom', 'windshield']",car
3feb967c-d875-4c8b-9d9c-2c9f3fb15a83,car,"['rear_view_mirror', 'windshield', 'headlight', 'side_windows', 'rear_window', 'taillight', 'wheel', 'wiper', 'roof', 'trunk', 'hood', 'grill', 'bottom', 'handle', 'doors']",car
b0285ca3-1af9-406c-b2c2-b5e050680b28,car,"['hood', 'doors', 'grill', 'windshield', 'handle', 'number_plate', 'wheel', 'rear_view_mirror', 'side_windows', 'rear_window', 'roof', 'trunk', 'headlight', 'taillight', 'bottom']",car
5e0a2be8-419a-4010-a12c-db0c8cb481a0,airplane,"['body', 'enginestretcher', 'back_flap', 'fin', 'windshield', 'wheels', 'step', 'wing']",airplane
3cf48680-2e34-4654-856b-707f43f2a8c9,airplane,"['body', 'wheels', 'step', 'wing', 'back_flap', 'fin', 'windshield', 'propeller_blade', 'enginestretcher']",airplane
1f95d451-38bf-4acb-9dbc-c722ab6403ad,airplane,"['door', 'windows', 'enginestretcher', 'propeller_blade', 'back_flap', 'step', 'windshield', 'body', 'wheels', 'wing', 'fin']",airplane
c299b796-7487-40cb-859a-8771a4e2de43,airplane,"['enginestretcher', 'fin', 'back_flap', 'wing', 'body', 'wheels', 'step', 'windshield']",airplane
5f424ee2-4df3-4af5-8974-493015035f30,airplane,"['enginestretcher', 'body', 'wing', 'wheels', 'step', 'windshield', 'fin', 'back_flap']",airplane
86e16943-4754-4609-9c5d-3f6ac0f22b3e,airplane,"['body', 'fin', 'step', 'windshield', 'back_flap', 'wheels', 'enginestretcher', 'wing']",airplane
16479118-dae0-4bcc-880b-c8c3b23e52e6,skateboard,"['wheels', 'deck', 'grip_tape', 'truck']",skateboard
d9c428ef-2979-4fb3-9fae-d63575ae5a45,skateboard,"['grip_tape', 'deck', 'truck', 'hardware', 'wheels']",skateboard
116366c6-70c6-40f2-bc4b-93e348cbcdfb,skateboard,"['wheels', 'truck', 'hardware', 'grip_tape', 'deck']",skateboard
650eb47d-05a4-4b66-9a30-babcac0cf2b3,skateboard,"['wheels', 'deck', 'grip_tape', 'truck', 'hardware']",skateboard
a8eff0c2-1d25-43c5-bd5e-c3221a38f772,skateboard,"['wheels', 'hardware', 'deck', 'grip_tape', 'truck']",skateboard
da787093-69f6-4847-be80-c64782a730b1,umbrellas & parasol,"['long_ribs', 'shaft', 'base', 'canopy', 'short_ribs', 'runner', 'finial']",parasol
dcbaedfa-32e1-4713-8c2f-0575f372ee66,umbrellas & parasol,"['long_ribs', 'handle', 'finial', 'canopy', 'short_ribs', 'runner', 'shaft']",parasol
bc5c2670-170a-46dc-a4b9-4353b9114a28,umbrellas & parasol,"['shaft', 'open_close_button', 'handle', 'short_ribs', 'finial', 'long_ribs', 'runner', 'canopy']",parasol
51ed7bba-428b-45c4-921d-00a8a36b2a62,umbrellas & parasol,"['tie_wrap', 'canopy', 'finial', 'handle', 'shaft']",parasol
03ef3e5a-23f8-45e8-b78f-8326103c2282,umbrellas & parasol,"['tie_wrap', 'finial', 'long_ribs', 'canopy', 'shaft', 'handle']",parasol
f9a401a5-2731-435e-bb41-31b1f7de74c1,jug,"['handle', 'base', 'body']",jug
cc85ac64-d3f8-45cc-a024-7df16ea13932,umbrellas & parasol,"['finial', 'shaft', 'handle', 'canopy', 'open_close_button', 'runner', 'short_ribs']",parasol
463a15d0-0646-444a-aff6-b9a39828ff78,umbrellas & parasol,"['finial', 'runner', 'canopy', 'long_ribs', 'short_ribs', 'handle', 'shaft']",parasol
34d7ac74-d064-4bf1-bada-f31b7756a3a3,umbrellas & parasol,"['finial', 'shaft', 'handle', 'canopy', 'open_close_button', 'runner', 'short_ribs']",parasol
052151b7-1184-446d-9214-63f0217e765b,umbrellas & parasol,"['canopy', 'long_ribs', 'shaft', 'handle', 'finial']",parasol
1b898e3f-ff70-4d65-b35e-3fd589876d79,airplane,"['wheels', 'back_flap', 'windshield', 'windows', 'propeller_blade', 'wing', 'enginestretcher', 'body', 'door', 'strut', 'fin']",airplane
9f999d6d-fd67-4b0b-a5ec-002a1f8b7410,airplane,"['windows', 'windshield', 'wing', 'wheels', 'strut', 'door', 'back_flap', 'propeller_blade', 'enginestretcher', 'fin', 'body']",airplane
10e5dbd8-9935-48c4-a3ea-3f8b67898ace,airplane,"['windows', 'windshield', 'wing', 'wheels', 'strut', 'door', 'back_flap', 'propeller_blade', 'enginestretcher', 'fin', 'body']",airplane
e6567c3d-e514-4828-b8d1-04ca19f65f8f,airplane,"['windshield', 'back_flap', 'body', 'wing', 'propeller_blade', 'enginestretcher', 'fin']",airplane
c89b02fc-b65b-4303-9643-9f4bd4e054a8,jug,"['body', 'base', 'level', 'lid', 'mouth', 'handle']",jug
82c3a50f-8590-4977-838f-931ae60905ca,airplane,"['wing', 'body', 'strut', 'windshield', 'back_flap', 'propeller_blade', 'windows', 'fin', 'enginestretcher', 'wheels']",airplane
2e5eef94-528d-4291-8c73-608cdf0f06dd,airplane,"['propeller_blade', 'enginestretcher', 'wheels', 'wing', 'back_flap', 'strut', 'windshield', 'fin', 'body']",airplane
0861733a-bc05-4688-9d3a-b5ee3330b85b,airplane,"['back_flap', 'wheels', 'windshield', 'body', 'fin', 'propeller_blade', 'step', 'wing']",airplane
2130fb05-d09a-4aa2-aac3-6a70bf3ebbe7,airplane,"['wing', 'windows', 'wheels', 'windshield', 'strut', 'body', 'propeller_blade', 'fin', 'back_flap']",airplane
96dd2971-2b07-4a16-b03c-462c3291c208,trolley,"['leg', 'bottom_panel', 'back_panel', 'top_panel', 'handle', 'drawer', 'side_panel', 'wheel']",trolley
d4557739-a26e-4f69-9de8-3721a73b92ff,trolley,"['leg', 'wheel', 'handle', 'top_panel']",trolley
dd6f394b-c32a-476b-a9d9-e395268fe9fd,dishwasher,"['back_panel', 'side_panel', 'base', 'button', 'top', 'handle', 'access_panel', 'door']",dishwasher
0a126415-9bc2-44e3-8351-d7a52ba6e808,dishwasher,"['access_panel', 'handle', 'base', 'button', 'door', 'top', 'side_panel', 'back_panel']",dishwasher
0ac173a0-1b7b-4454-be66-2d153217f6a8,dishwasher,"['top', 'door', 'button', 'handle', 'back_panel', 'side_panel', 'base']",dishwasher
963f58aa-b9cb-4076-852b-543eced10d87,dishwasher,"['top', 'handle', 'base', 'door', 'access_panel', 'side_panel', 'back_panel', 'button']",dishwasher
b632e609-b176-4236-bec9-2d94ba2c5e90,dishwasher,"['access_panel', 'door', 'base', 'button', 'handle', 'side_panel', 'control', 'back_panel', 'top']",dishwasher
605dd566-d1b0-4437-be39-0cdde509bcfc,dishwasher,"['button', 'access_panel', 'side_panel', 'back_panel', 'door', 'base', 'handle']",dishwasher
0b7a36c9-27b8-4033-8e24-fe9ca8d1ae46,dishwasher,"['access_panel', 'base', 'side_panel', 'back_panel', 'top', 'door', 'button', 'handle']",dishwasher
847420e6-c2fa-4b44-a135-64f3afaa36bb,boat,"['body', 'mast', 'keel', 'rudder', 'lug', 'bow', 'hull', 'deck']",boat
ddaa68cc-bede-4e24-a80d-ff41ea5fbf5c,dishwasher,"['button', 'base', 'side_panel', 'top', 'access_panel', 'handle', 'door', 'back_panel']",dishwasher
a73a68fb-b6b4-4d36-9313-0489f8158914,dishwasher,"['door', 'handle', 'side_panel', 'base', 'back_panel', 'top', 'button']",dishwasher
b9a1a35c-7277-4e0a-8b0a-cbb1abf09194,dishwasher,"['door', 'base', 'side_panel', 'top', 'back_panel', 'handle']",dishwasher
410fe99e-c338-4e46-8e27-1f7f9a7d9cf1,dishwasher,"['handle', 'button', 'access_panel', 'base', 'back_panel', 'top', 'side_panel', 'door']",dishwasher
1a25abc0-db2c-492c-a8c9-c362d0451fb0,dishwasher,"['handle', 'back_panel', 'button', 'top', 'door', 'base', 'side_panel']",dishwasher
ba37a8ae-ef29-4ee2-8b30-4c19241354fa,dishwasher,"['door', 'button', 'top', 'back_panel', 'access_panel', 'base', 'side_panel', 'handle']",dishwasher
648a7142-1b51-40d9-9710-034caaf38080,dishwasher,"['door', 'button', 'top', 'back_panel', 'access_panel', 'base', 'side_panel', 'handle']",dishwasher
541ec678-e544-4e83-9f95-f4b8b7ceb0fe,coat racks,"['pole', 'hanger', 'support', 'base', 'design']",coat racks
c645b8a8-6720-4e83-8688-d142896b3d53,dishwasher,"['side_panel', 'handle', 'base', 'door', 'button', 'back_panel', 'top']",dishwasher
8fd29f37-9e7f-48c8-8f8f-b722a03d6959,basket,"['lid', 'support', 'body']",basket
cbe24fdb-db82-46e0-a78b-a078e5afc2a8,basket,"['support', 'body', 'wheel', 'handle']",basket
cbaca687-f1c7-4c33-82a0-9d5f328b889f,trolley,"['support', 'wheel', 'bottom_panel', 'top_panel']",trolley
4dcff83e-4c70-4386-9cdd-5c274fddc441,trolley,"['wheel', 'support', 'top_panel', 'bottom_panel']",trolley
4a0e3b7d-745d-4186-8cb5-2c432e004766,trolley,"['support', 'shelf', 'handle', 'wheel']",trolley
26b93a59-5cd4-4a4d-adce-9eff707bcd49,trolley,"['top_panel', 'shelf', 'wheel', 'support', 'bottom_panel']",trolley
7d9b971e-58ee-4389-ba0f-7a4116d556af,trolley,"['top_panel', 'bottom_panel', 'support', 'handle', 'wheel']",trolley
50812ded-0f02-4b0c-8911-77e517c6d4fc,sofa,"['seat', 'cushion', 'support', 'armrest', 'back', 'bush', 'leg']",sofa
44d8a999-87e4-4634-9f18-e7bb102346a2,armchairs & accent chairs,"['seat', 'support', 'back', 'bush', 'leg', 'cushion']",chair
597cb215-ca15-4127-8646-b3fe6b5ab88a,armchairs & accent chairs,"['bush', 'cushion', 'leg', 'back', 'armrest', 'seat']",chair
09042a22-8aa6-46f2-980e-d0d56188d48a,accent table,"['leg', 'tabletop_frame', 'top', 'bush']",table
b33b1d8e-2f86-43e7-8781-eef1f27869a0,side & end table,"['leg', 'handle', 'drawer', 'base', 'shelf', 'bush', 'top']",table
de9e4e52-5bf7-4714-86bc-adddbc9daccd,side & end table,"['support', 'leg', 'bush', 'drawer', 'handle', 'base', 'top']",table
43b638c7-2a85-4b30-89aa-909c90e04a3a,side & end table,"['base', 'handle', 'drawer', 'leg', 'top', 'support', 'bush']",table
4c6e216a-aa6e-4b06-b1d0-1166be14d19f,chair,"['leg', 'seat', 'bush', 'back', 'base', 'support']",chair
d5ae6690-986c-47a6-aca7-6638135454d0,coffee table,"['base', 'leg', 'top', 'support', 'tabletop_frame', 'bush']",table
3841e5f3-5406-4095-b9db-d6d0bfe07431,coffee table,"['base', 'leg', 'top', 'bush']",table
69692e18-d7cb-4da8-b48c-69addc4025cc,dishwasher,"['button', 'door', 'back_panel', 'top', 'base', 'handle', 'side_panel']",dishwasher
fba3fe31-0343-4a36-8030-1fbf39adb05f,dishwasher,"['top', 'base', 'back_panel', 'door', 'side_panel', 'handle', 'button', 'access_panel']",dishwasher
3692572c-95af-46e4-b519-fa98ac169197,bicycle,"['headset', 'handlebars', 'tyre', 'pedals', 'chain', 'brakes', 'chain_stay', 'seat_stay', 'saddle', 'fork', 'spokes']",bicycle
cc879659-38f9-4117-8d29-a3f119de301e,bicycle,"['pedals', 'rim', 'fork', 'tyre', 'saddle', 'seat_stay']",bicycle
bb4670d4-b8c5-475a-93c0-04600af405c2,bicycle,"['pedals', 'rim', 'seat_stay', 'brakes', 'fork', 'handlebars', 'chain_stay', 'tyre', 'headset', 'saddle', 'chain', 'spokes']",bicycle
ccc916f4-e817-47dd-adae-2e534a1d6682,bicycle,"['rim', 'brakes', 'headset', 'chain', 'handlebars', 'tyre', 'saddle', 'spokes', 'chain_stay', 'pedals', 'seat_stay', 'fork']",bicycle
d0024556-ae41-4205-81fe-11b6e43a8a5a,bicycle,"['brake', 'headset', 'rim', 'chain', 'chain_stay', 'tyre', 'spokes', 'handlebars', 'saddle', 'seat_stay', 'tube', 'pedals', 'fork']",bicycle
6af048c9-0ebe-4312-a7df-ecd41a99875e,jug,"['handle', 'base', 'body']",jug
9a6be19b-882b-4eb4-a067-15eb74335981,bicycle,"['spokes', 'chain_stay', 'chain', 'fork', 'headset', 'seat_stay', 'tyre', 'pedals', 'tube', 'saddle', 'handlebars']",bicycle
feb4af59-676c-4f5d-8317-08848253bea6,bicycle,"['saddle', 'fork', 'chain_stay', 'chain', 'rim', 'handlebars', 'brakes', 'spokes', 'seat_stay', 'tube', 'brake', 'pedals', 'tyre', 'headset']",bicycle
a9bda432-a2f1-44e5-bcbd-18ee0e952efa,bird house,"['base', 'perch', 'roof', 'side_walls']",bird house
33066fc0-10cb-454b-a188-b5b2b144bd81,bicycle,"['saddle', 'rim', 'spokes', 'tyre', 'handlebars', 'headset', 'fork', 'chain', 'chain_stay', 'seat_stay', 'tube', 'brakes', 'pedals', 'brake']",bicycle
dc9e95ed-0bef-4734-b29d-0f14e18c5013,bicycle,"['seat_stay', 'spokes', 'fork', 'saddle', 'rim', 'headset', 'gear_levers', 'pedals', 'tyre', 'handlebars', 'chain', 'chain_stay']",bicycle
679082cd-c4fb-4cfe-aa30-61a42f4e6f29,bicycle,"['tube', 'fork', 'chain_stay', 'pedals', 'saddle', 'spokes', 'brakes', 'rim', 'handlebars', 'tyre', 'chain', 'gear_levers', 'seat_stay']",bicycle
ed1d8bd5-673e-4be4-bc6b-d178740cb11d,bicycle,"['saddle', 'chain_stay', 'seat_stay', 'tyre', 'chain', 'rim', 'brake', 'pedals', 'tube', 'handlebars', 'fork', 'brakes', 'spokes', 'gear_levers']",bicycle
05cdb72f-a57c-468c-ae6f-9c87332127cc,bird house,"['roof', 'base', 'side_walls']",bird house
91817a1a-d0e3-4069-aa62-29c50dd98e7a,bicycle,"['brakes', 'fork', 'chain_stay', 'brake', 'chain', 'tyre', 'pedals', 'gear_levers', 'spokes', 'handlebars', 'seat_stay', 'headset', 'saddle']",bicycle
ce8147a5-b062-43a4-8f56-5fcb0a9a372d,bicycle,"['fork', 'spokes', 'tyre', 'rim', 'seat_stay', 'pedals', 'handlebars', 'saddle', 'headset']",bicycle
f00dc94a-5b82-49f1-88d1-fc315e1c3098,bird house,"['perch', 'base', 'roof', 'side_walls', 'feeder']",bird house
fbb73339-a022-45ce-bf84-7654814529ec,bicycle,"['rim', 'fork', 'gear_levers', 'headset', 'tube', 'handlebars', 'tyre', 'pedals', 'spokes', 'chain', 'saddle', 'seat_stay', 'chain_stay']",bicycle
2e2b289e-8e8a-4ce3-9770-8f3dd8585723,bird house,"['side_walls', 'roof', 'base']",bird house
a10d5b6d-d39a-48ab-b502-729c8b74a9cc,bicycle,"['chain_stay', 'seat_stay', 'tube', 'headset', 'brake', 'saddle', 'rim', 'tyre', 'fork', 'pedals', 'gear_levers', 'brakes', 'spokes']",bicycle
68ac4d57-8a1a-4136-afff-212cc64f9eef,bird house,"['roof', 'perch', 'side_walls', 'base']",bird house
adb8fd75-f595-4875-9f28-3810a22e08f7,bicycle,"['rim', 'tyre', 'fork', 'tube', 'headset', 'chain_stay', 'seat_stay', 'saddle', 'gear_levers', 'spokes', 'pedals', 'brakes', 'brake']",bicycle
d854e737-97a5-472a-8ee3-381a4672b8b7,bird house,"['eyehook', 'feeder', 'side_walls', 'base', 'roof', 'perch']",bird house
501b7a65-06d7-4516-b27d-7fce8b6cabf8,car,"['roof', 'headlight', 'grill', 'hood', 'trunk', 'doors', 'bottom', 'seat', 'handle', 'rear_window', 'side_windows', 'wheel', 'rear_view_mirror', 'windshield', 'number_plate', 'wiper']",car
95295c8f-af0e-4236-9878-4d40bfbfcdb4,car,"['taillight', 'number_plate', 'windshield', 'rear_view_mirror', 'wheel', 'wiper', 'roof', 'trunk', 'bottom', 'doors', 'handle', 'hood', 'headlight', 'seat', 'grill']",car
066c355b-49b9-44e7-a0e1-e287a8f282fe,umbrellas & parasol,"['long_ribs', 'finial', 'shaft', 'handle', 'runner', 'short_ribs', 'canopy']",parasol
ac3b4ac0-d1b2-4322-874c-f1f8523dd014,umbrellas & parasol,"['shaft', 'finial', 'long_ribs', 'base', 'canopy', 'short_ribs', 'handle', 'runner', 'open_close_button']",parasol
a8ebac40-7dad-4a31-85f6-cdfdd3e5ab1f,car,"['grill', 'side_windows', 'wheel', 'doors', 'hood', 'handle', 'rear_view_mirror', 'bottom', 'headlight', 'taillight', 'roof', 'windshield', 'rear_window', 'trunk', 'number_plate']",car
3bbf58d6-65ee-459f-83fa-e080a2bbca13,ladder,"['rear_side_rail', 'step', 'front_side_rail', 'top_cap']",ladder
6068e131-5ce8-436e-b88b-c817795d3ea4,ladder,"['foot', 'step', 'rear_side_rail', 'front_side_rail', 'top_cap']",ladder
ec2c959c-78a7-4617-a258-f383b5d0c6b7,car,"['trunk', 'doors', 'hood', 'grill', 'number_plate', 'side_windows', 'wheel', 'headlight', 'roof', 'rear_window', 'bottom', 'wiper', 'windshield', 'rear_view_mirror', 'handle', 'seat']",car
912fc5d8-7408-4f38-84db-d5a170119370,ladder,"['step', 'front_side_rail']",ladder
2f33a3d5-2113-4503-b7e7-89c62a46be5a,ladder,"['foot', 'step', 'front_side_rail']",ladder
1faf2384-054a-465c-b3f2-71312e7e8f25,ladder,"['front_side_rail', 'top_cap', 'rear_side_rail', 'step']",ladder
