model_id,tuples
bb84bf02-e426-4603-a3e3-c25cb1d767cb,"{""seat"": ""fabric"", ""base"": ""metal"", ""support"": ""metal"", ""leg"": ""metal"", ""back_horizontal_bar"": ""metal""}"
dd8304b4-06f8-46f5-8185-9e1219db0037,"{""seat"": ""leather"", ""base"": ""wood"", ""seat_cushion"": ""leather""}"
5056ae90-3f14-485a-a080-9c4495ef7198,"{""top"": ""metal"", ""leg"": ""metal"", ""support"": ""metal"", ""tabletop_frame"": ""metal""}"
839bca70-24d1-42f2-a4ff-9f0057811207,"{""support"": ""metal"", ""leg"": ""metal"", ""stretcher"": ""metal"", ""drawer"": ""wood"", ""back_panel"": ""wood"", ""top"": ""wood"", ""tabletop_frame"": ""wood"", ""vertical_side_panel"": ""wood"", ""bottom_panel"": ""wood""}"
97dbdf2f-ddb5-4fe4-ab44-69b46d3ce3b5,"{""base"": ""metal"", ""top"": ""marble"", ""leg"": ""metal"", ""bush"": ""plastic""}"
07e9b1e9-fa04-4551-a850-085b3a579307,"{""top"": ""wood"", ""leg"": ""wood""}"
589bbbbb-744b-4bcc-8dec-7f5394adcfe0,"{""leg"": ""metal"", ""top"": ""marble"", ""bush"": ""plastic""}"
e0b873fd-9553-4e9b-b5ca-0d3932335880,"{""seat"": ""leather"", ""back"": ""leather"", ""leg"": ""metal""}"
8f8ce625-478c-4321-9a4a-f5eaec432b8e,"{""mattress"": ""fabric"", ""duvet"": ""fabric"", ""pillow"": ""leather"", ""leg"": ""metal"", ""base"": ""metal"", ""bedskirt"": ""leather"", ""headboard"": ""wood""}"
ade889c3-a979-46ea-86aa-8dcff9baede3,"{""base"": ""metal"", ""design"": ""metal"", ""seat"": ""leather"", ""back"": ""leather"", ""leg"": ""metal""}"
053776f9-3b81-4416-83d0-d04cef873298,"{""back"": ""fabric"", ""design"": ""metal"", ""cushion"": ""fabric"", ""pillow"": ""fabric"", ""leg"": ""metal"", ""support"": ""metal"", ""seat"": ""fabric"", ""base"": ""metal"", ""backrest"": ""metal"", ""armrest"": ""wood""}"
eae13472-835e-43b7-8f22-16e77d556187,"{""pillow"": ""fabric"", ""headboard"": ""wood"", ""mattress"": ""fabric"", ""leg"": ""metal"", ""bedskirt"": ""fabric"", ""base"": ""metal""}"
01b93f55-5db1-478d-b0f5-61e4c3d2c0b0,"{""leg"": ""metal"", ""top"": ""marble"", ""support"": ""metal""}"
898381e0-2876-42d7-8543-b36c40c75d70,"{""support"": ""wood"", ""seat_cushion"": ""fabric"", ""leg"": ""metal""}"
bb428eb9-c81c-4f07-bc33-115560fc2407,"{""top"": ""metal"", ""leg"": ""metal"", ""support"": ""metal"", ""base"": ""metal""}"
26b93a59-5cd4-4a4d-adce-9eff707bcd49,"{""top_panel"": ""metal"", ""shelf"": ""metal"", ""wheel"": ""metal"", ""support"": ""metal"", ""bottom_panel"": ""metal""}"
7bd3eb05-9a49-4cfa-a525-99b06af21732,"{""seat"": ""leather"", ""support"": ""metal"", ""footrest"": ""metal"", ""leg"": ""metal"", ""base"": ""metal""}"
add72c0d-a266-4750-8a8d-d40faca77a6b,"{""seat_cushion"": ""leather"", ""seat"": ""leather"", ""base"": ""metal"", ""leg"": ""metal"", ""support"": ""metal""}"
e47cf2e7-54f0-4610-adbd-9cecdf4d9535,"{""container"": ""metal"", ""containing_things"": ""metal"", ""head"": ""metal""}"
f853983f-e97e-47c0-b40f-db62c64ff008,"{""container"": ""metal"", ""base"": ""metal"", ""containing_things"": ""metal""}"
0be66488-f551-47ca-94b5-07289280a49f,"{""base"": ""wood"", ""leg"": ""wood"", ""seat"": ""fabric"", ""support"": ""metal"", ""bush"": ""plastic"", ""back_horizontal_bar"": ""fabric""}"
edf56fcf-782d-407b-80d9-d18c0d6a14e8,"{""seat"": ""leather"", ""backrest"": ""metal"", ""back"": ""leather"", ""armrest"": ""leather"", ""pillow"": ""leather"", ""cushion"": ""leather"", ""support"": ""metal"", ""leg"": ""metal""}"
30e04930-84ab-44d6-a41f-d5e98bc1ee92,"{""leg"": ""metal"", ""support"": ""metal"", ""back"": ""leather"", ""seat"": ""leather"", ""armrest"": ""plastic""}"
ee64efc0-7ad7-4740-b2f4-bddd18ac865e,"{""armrest"": ""leather"", ""leg"": ""wood"", ""base"": ""wood"", ""cushion"": ""leather"", ""seat"": ""leather"", ""backrest"": ""leather""}"
301f2ffa-2191-403f-9de0-adf467e79a37,"{""pillow"": ""fabric"", ""headboard"": ""wood"", ""leg"": ""metal"", ""duvet"": ""fabric"", ""base"": ""metal"", ""mattress"": ""fabric""}"
995de63c-7c01-4ff5-b0fa-19f552c67d9d,"{""headboard"": ""wood"", ""leg"": ""metal"", ""pillow"": ""leather"", ""support"": ""metal"", ""bedsheet"": ""fabric"", ""duvet"": ""fabric"", ""base"": ""metal""}"
149454b1-ea8e-4555-9c84-e5af5d4c0940,"{""lamp_surrounding_frame"": ""metal"", ""support"": ""metal"", ""base"": ""metal"", ""bulb"": ""glass""}"
2bc57f24-9e8a-4637-a063-b5f29f53f393,"{""base"": ""metal"", ""top"": ""metal"", ""support"": ""metal"", ""leg"": ""metal""}"
df490f53-4877-46cd-b236-68ca1e855dc1,"{""containing_things"": ""metal"", ""container"": ""metal"", ""base"": ""metal""}"
3f73715e-94f8-46b0-9c0f-8d46dcb42eb7,"{""design"": ""metal"", ""base"": ""wood"", ""seat_cushion"": ""leather"", ""seat"": ""leather""}"
34436c18-8149-487c-a584-c6f386617be5,"{""seat"": ""leather"", ""armrest"": ""leather"", ""backrest"": ""metal"", ""pillow"": ""leather"", ""leg"": ""metal"", ""base"": ""metal"", ""back"": ""leather""}"
9fb7b6c7-017e-42ec-9ec4-dbb8358bfe47,"{""seat"": ""leather"", ""design"": ""metal"", ""base"": ""wood""}"
d0d3eb9c-c288-4b1c-8329-9abc568654bb,"{""seat"": ""leather"", ""design"": ""metal"", ""leg"": ""wood"", ""base"": ""metal""}"
9d8c4d64-cdcc-48d3-a247-5b446796fc3c,"{""seat"": ""fabric"", ""back"": ""fabric"", ""leg"": ""metal"", ""support"": ""metal"", ""base"": ""metal"", ""backrest"": ""fabric"", ""armrest"": ""wood""}"
e6e4b97b-43bd-47c0-9972-e0b9da7629cb,"{""pillow"": ""fabric"", ""bedskirt"": ""fabric"", ""duvet"": ""fabric"", ""mattress"": ""fabric"", ""headboard"": ""wood""}"
9fd0eb3f-4265-43ce-b53f-35cb76ece5ef,"{""rod"": ""metal"", ""base"": ""metal"", ""lamp_surrounding_frame"": ""metal"", ""socket"": ""plastic"", ""bulb"": ""glass""}"
c25da385-25c9-4c1b-ab11-aae7ba8ab337,"{""design"": ""metal"", ""support"": ""metal"", ""handle"": ""metal"", ""door"": ""metal"", ""back_panel"": ""metal"", ""bottom_panel"": ""metal"", ""top_panel"": ""metal"", ""vertical_side_panel"": ""metal"", ""leg"": ""metal""}"
92651e8f-e077-42d1-9fec-c68c6f201a68,"{""containing_things"": ""metal"", ""head"": ""metal"", ""container"": ""metal""}"
cfc5b52a-100e-43fd-bd52-2069e8c80c33,"{""top"": ""marble"", ""base"": ""metal"", ""support"": ""metal"", ""leg"": ""metal""}"
47ab19e7-8004-4f38-b112-1557e84235eb,"{""head"": ""metal"", ""container"": ""metal"", ""base"": ""metal"", ""containing_things"": ""metal""}"
73eb07eb-5f88-4bb9-b3fb-24555c34f035,"{""leg"": ""metal"", ""back"": ""wood"", ""armrest"": ""metal"", ""base"": ""metal"", ""seat"": ""wood""}"
6c050118-6943-4d62-a375-8330bc8bec2f,"{""seat_cushion"": ""fabric"", ""base"": ""metal"", ""support"": ""metal"", ""leg"": ""metal""}"
b8daa852-294a-44f9-a230-d704a6cb1426,"{""top"": ""metal"", ""support"": ""metal"", ""base"": ""metal"", ""leg"": ""metal""}"
68ccc6e3-6132-4402-b466-a718b94e2f97,"{""top"": ""wood"", ""leg"": ""metal""}"
6d69cb70-2bac-4c66-be12-644afa141801,"{""leg"": ""metal"", ""base"": ""metal"", ""seat"": ""fabric""}"
0f48abf4-a495-4ed7-9566-305d99ae625a,"{""seat"": ""fabric"", ""base"": ""metal"", ""leg"": ""metal""}"
eed33a7b-c7d3-48a2-9a7f-cf04b42b3551,"{""container"": ""ceramic"", ""base"": ""ceramic"", ""containing_things"": ""plastic""}"
5a5bf4d4-7d71-41e7-888f-de38e524659c,"{""containing_things"": ""metal"", ""container"": ""metal""}"
35d3ab23-6a3c-449c-b525-5a2516f838a5,"{""leveller"": ""plastic"", ""back"": ""leather"", ""backrest"": ""metal"", ""seat"": ""leather"", ""base"": ""metal"", ""leg"": ""metal""}"
241f219d-24af-41d8-acc1-87f2cba59454,"{""back_panel"": ""metal"", ""door"": ""metal"", ""drawer"": ""metal"", ""leg"": ""metal"", ""top_panel"": ""metal"", ""handle"": ""metal"", ""bottom_panel"": ""metal"", ""vertical_side_panel"": ""metal""}"
93bdd6e1-ace2-47f0-bbd4-fae9e5bf6698,"{""cushion"": ""fabric"", ""seat"": ""fabric"", ""support"": ""metal"", ""leg"": ""metal"", ""base"": ""metal""}"
f859affa-3a44-4459-83af-ad5af9ec162e,"{""cushion"": ""fabric"", ""seat"": ""leather"", ""back"": ""leather"", ""leg"": ""metal"", ""armrest"": ""metal"", ""support"": ""metal""}"
aa5d259b-da03-4d63-9248-933bdaa47e0c,"{""mattress"": ""fabric"", ""duvet"": ""fabric"", ""bedskirt"": ""leather"", ""headboard"": ""wood"", ""leg"": ""metal"", ""pillow"": ""leather"", ""base"": ""metal""}"
532d70b9-8754-4739-bb44-1125d320ecf3,"{""top"": ""wood"", ""leg"": ""wood"", ""tabletop_frame"": ""wood"", ""base"": ""wood""}"
84f606a7-677d-464c-a42c-ebe25b470f56,"{""top"": ""metal"", ""base"": ""metal"", ""leg"": ""metal""}"
c5a150c3-f046-46fe-ae49-9ce2b9089016,"{""bedskirt"": ""fabric"", ""base"": ""metal"", ""leg"": ""metal"", ""pillow"": ""fabric"", ""mattress"": ""fabric"", ""duvet"": ""fabric"", ""cushion"": ""fabric"", ""headboard"": ""wood""}"
5450aaa6-2f17-44c5-bae2-bb35b5ff2b03,"{""cushion"": ""fabric"", ""seat"": ""fabric"", ""base"": ""metal"", ""leveller"": ""plastic"", ""leg"": ""metal""}"
6a348de4-8e78-4ebf-88dd-b40ea72ac4b4,"{""containing_things"": ""metal"", ""container"": ""ceramic""}"
4e70c1e9-1ece-478e-bcf0-48e0bfe66c04,"{""duvet"": ""fabric"", ""leg"": ""metal"", ""mattress"": ""fabric"", ""headboard"": ""wood"", ""base"": ""metal"", ""pillow"": ""leather""}"
9231e1d2-d7b3-4371-957d-c461863da344,"{""support"": ""metal"", ""seat"": ""fabric"", ""base"": ""metal"", ""design"": ""metal""}"
a1cdd9ec-41e3-46e9-826e-487261578671,"{""headboard"": ""wood"", ""pillow"": ""fabric"", ""bedskirt"": ""fabric"", ""mattress"": ""fabric"", ""duvet"": ""fabric"", ""base"": ""metal""}"
65a6932a-cb1a-44ce-89f0-440687a955b1,"{""leg"": ""metal"", ""bottom_panel"": ""metal"", ""vertical_side_panel"": ""metal"", ""back_panel"": ""metal"", ""support"": ""metal"", ""shelf"": ""metal"", ""top_panel"": ""metal"", ""handle"": ""metal"", ""drawer"": ""metal""}"
46480c1e-b6a7-49ca-a050-04aa27e44a8b,"{""backrest"": ""fabric"", ""leg"": ""metal"", ""seat"": ""fabric"", ""support"": ""metal""}"
1fdc48b3-2531-4e22-8dca-95f8b4f59786,"{""containing_things"": ""metal"", ""base"": ""metal"", ""head"": ""metal"", ""container"": ""metal""}"
3856c4e7-57f1-46df-8c3c-05d4f1e7fdcd,"{""leg"": ""metal"", ""base"": ""metal"", ""seat"": ""leather"", ""leveller"": ""plastic""}"
77831f00-0b7b-4404-bb55-ce403552257f,"{""pillow"": ""fabric"", ""cushion"": ""fabric"", ""seat"": ""fabric"", ""back"": ""fabric"", ""backrest"": ""metal"", ""base"": ""metal"", ""support"": ""metal"", ""armrest"": ""wood""}"
fa41e44d-f69d-4576-9023-b64addeeaa99,"{""leg"": ""metal"", ""base"": ""metal"", ""seat"": ""leather""}"
4fadd323-0e11-419f-9d31-4acdfacff2bd,"{""container"": ""ceramic"", ""containing_things"": ""metal""}"
cef53c76-d19a-4a6f-b3e5-3b9520c637ac,"{""armrest"": ""leather"", ""back"": ""leather"", ""bush"": ""plastic"", ""seat"": ""leather"", ""support"": ""metal"", ""leg"": ""metal""}"
e4fbe837-69b0-438f-a9a8-d5c83696ed2b,"{""design"": ""metal"", ""containing_things"": ""metal"", ""base"": ""ceramic"", ""container"": ""ceramic""}"
164366bf-5c9a-4cc2-aaf2-f460816cb2fb,"{""base"": ""metal"", ""leg"": ""metal"", ""seat"": ""fabric""}"
1d51f62d-47a0-4bc9-a64c-64dfc9e358b8,"{""leg"": ""metal"", ""support"": ""metal"", ""base"": ""metal"", ""back"": ""leather"", ""armrest"": ""metal"", ""seat"": ""leather"", ""leveller"": ""plastic""}"
fae8d4e9-b7fa-40c6-89db-aa5def62f5ca,"{""backrest"": ""metal"", ""support"": ""metal"", ""back"": ""wood"", ""base"": ""metal"", ""leg"": ""metal"", ""seat"": ""leather"", ""armrest"": ""metal""}"
c3b739af-d56c-4034-871d-37ff3b24cdfa,"{""leg"": ""metal"", ""seat_cushion"": ""fabric"", ""base"": ""wood""}"
d92ddfe0-eb9d-4272-8863-8f6d59f6dd20,"{""shelf"": ""metal"", ""base"": ""metal"", ""vertical_side_panel"": ""metal""}"
91e56e0e-d44d-4908-956c-baf3542ef099,"{""container"": ""ceramic"", ""containing_things"": ""metal""}"
75d6a842-e5f3-4bc6-93e1-4e2cce978535,"{""leg"": ""wood"", ""seat_cushion"": ""leather"", ""seat"": ""leather"", ""support"": ""wood""}"
dec518d3-0955-4e2a-b3e1-1e770e4164a1,"{""bush"": ""plastic"", ""leg"": ""wood"", ""top"": ""wood"", ""base"": ""wood"", ""support"": ""wood""}"
3510b6a4-6e99-4247-8b24-a43c464ec9c6,"{""container"": ""ceramic"", ""base"": ""metal"", ""containing_things"": ""metal""}"
a0d83e1c-299d-4e41-933d-5efc54fe19e1,"{""container"": ""ceramic"", ""base"": ""metal"", ""containing_things"": ""metal""}"
621514d9-03fa-4994-b2db-4b91079f664b,"{""leg"": ""metal"", ""seat"": ""leather""}"
96bc1e68-be34-4add-ae27-c605cfc949ee,"{""containing_things"": ""plastic"", ""container"": ""ceramic"", ""head"": ""plastic""}"
0423e85c-76fa-4933-83de-1b84a3cc6091,"{""base"": ""metal"", ""leg"": ""metal"", ""top"": ""wood""}"
2933f585-70ae-4aa7-ae97-8300e3f4b4f2,"{""seat"": ""leather"", ""back"": ""leather"", ""leg"": ""metal""}"
d673731d-291b-4705-bbf9-c79b85b9a002,"{""leg"": ""metal"", ""support"": ""metal"", ""base"": ""wood"", ""seat"": ""leather"", ""cushion"": ""leather""}"
cc463fa1-5ce7-48ac-bc25-9511899e9cb7,"{""base"": ""ceramic"", ""container"": ""ceramic"", ""head"": ""plastic"", ""containing_things"": ""plastic""}"
4a12f635-a90f-44b6-b090-3c10233b027e,"{""pole"": ""metal"", ""support"": ""metal"", ""design"": ""metal"", ""base"": ""metal"", ""leveller"": ""plastic"", ""rod"": ""metal"", ""lamp_surrounding_frame"": ""metal"", ""bulb"": ""metal""}"
1a875060-9967-4456-bd85-31da059c1274,"{""container"": ""metal"", ""head"": ""metal"", ""containing_things"": ""metal""}"
cfc82f69-d6f5-4efb-a85a-37de7396c7ed,"{""top"": ""marble"", ""leg"": ""metal"", ""base"": ""metal""}"
f5b842b6-473b-4a95-b47a-dccdde379768,"{""lamp_surrounding_frame"": ""metal"", ""bulb"": ""glass"", ""wire"": ""plastic"", ""base"": ""metal""}"
5f4b6fc9-c3fa-4ddf-b674-fa531cc0636e,"{""leg"": ""metal"", ""seat_cushion"": ""fabric"", ""seat"": ""fabric"", ""support"": ""metal""}"
0c899e62-6812-4de4-a61b-f3ab27eddecb,"{""arm"": ""metal"", ""bulb"": ""glass"", ""body"": ""metal"", ""support"": ""metal"", ""socket"": ""plastic"", ""base"": ""metal"", ""rod"": ""metal"", ""shade_cloth"": ""fabric""}"
cd9b2e58-8334-4796-bb3a-1d41d4821069,"{""top"": ""wood"", ""leg"": ""metal"", ""support"": ""metal"", ""base"": ""metal""}"
d00bbd5b-a06a-4cbb-a545-d4bc2fb4fd73,"{""top"": ""metal"", ""leg"": ""metal"", ""support"": ""metal""}"
a7607a59-8224-4583-b71d-4af3c1e3bf78,"{""containing_things"": ""metal"", ""container"": ""metal"", ""base"": ""metal"", ""head"": ""metal""}"
1a87c417-4750-4141-baa9-e0c1e6f8a684,"{""design"": ""metal"", ""base"": ""metal"", ""cushion"": ""fabric"", ""support"": ""metal"", ""leg"": ""metal"", ""seat"": ""fabric""}"
8f90acb8-8cd6-46ec-ad49-2e6ce41c3982,"{""door"": ""wood"", ""shelf"": ""metal"", ""leg"": ""wood"", ""handle"": ""metal""}"
85629315-8780-4adf-831d-cb6f97e690b5,"{""top"": ""wood"", ""support"": ""wood"", ""leg"": ""wood""}"
0506f58b-204f-4de7-bb50-7bdfca4a4472,"{""seat"": ""leather"", ""seat_cushion"": ""leather"", ""leg"": ""metal""}"
0f4706ae-6f19-4e8a-a4bc-a081a9153185,"{""seat"": ""wood"", ""armrest"": ""metal"", ""leg"": ""metal"", ""back"": ""wood""}"
3d9cfaf8-bd7d-49b5-ae08-a3ed26dfae0d,"{""back_panel"": ""wood"", ""design"": ""metal"", ""vertical_side_panel"": ""wood"", ""leg"": ""metal"", ""bottom_panel"": ""wood"", ""support"": ""metal"", ""top_panel"": ""wood"", ""door"": ""wood"", ""handle"": ""metal"", ""vertical_divider_panel"": ""wood""}"
d30c4ec9-7338-427c-bca1-3fb7655edb93,"{""base"": ""wood"", ""seat"": ""fabric"", ""leg"": ""metal""}"
2e554838-833f-4d4d-8326-6f5199333d53,"{""base"": ""metal"", ""top"": ""metal"", ""leg"": ""metal"", ""support"": ""metal""}"
c199c63d-fadf-48de-b2b5-a5176423cfa1,"{""leg"": ""metal"", ""seat"": ""leather"", ""support"": ""metal"", ""footrest"": ""metal""}"
49ac599e-7212-455d-87da-5f0cf4dda54e,"{""bulb"": ""metal"", ""support"": ""metal"", ""arm"": ""metal"", ""base"": ""metal"", ""socket"": ""plastic"", ""lamp_surrounding_frame"": ""metal"", ""wall_mount"": ""metal"", ""pole"": ""plastic""}"
e3e4a597-88f4-44c0-b5c7-50a08703722f,"{""cabinet"": ""wood"", ""design"": ""metal"", ""leg"": ""metal"", ""support"": ""metal"", ""base"": ""wood"", ""handle"": ""metal"", ""drawer"": ""wood"", ""bush"": ""plastic""}"
6a063917-f034-417f-80af-53950ba3f80a,"{""base"": ""metal"", ""headboard"": ""wood"", ""bedsheet"": ""fabric"", ""duvet"": ""fabric"", ""pillow"": ""leather"", ""support"": ""metal"", ""leg"": ""metal""}"
4aa61578-ce65-422d-9fcb-cd318872fb60,"{""seat"": ""leather"", ""leg"": ""metal"", ""design"": ""metal"", ""base"": ""metal""}"
a4f4e0e1-caa9-45e7-b08c-df22c569a3fd,"{""pillow"": ""fabric"", ""headboard"": ""wood"", ""duvet"": ""fabric"", ""cushion"": ""fabric"", ""mattress"": ""fabric"", ""bedskirt"": ""fabric"", ""base"": ""metal""}"
cbd6c700-4416-4852-8d3d-c384323883e4,"{""top"": ""marble"", ""leg"": ""metal"", ""support"": ""metal""}"
7a5d96a4-5e02-4eb8-8333-e69cb62c7b06,"{""support"": ""metal"", ""top"": ""metal"", ""base"": ""metal""}"
dbaaab7f-a581-44ea-b475-c1f6a7875a3d,"{""leg"": ""metal"", ""top"": ""metal"", ""base"": ""metal"", ""support"": ""metal""}"
bd4292a7-1ee2-48ce-94e8-4ca48316001b,"{""top"": ""marble"", ""support"": ""metal"", ""tabletop_frame"": ""metal"", ""handle"": ""metal"", ""cabinet"": ""wood"", ""drawer"": ""wood"", ""bush"": ""plastic"", ""leg"": ""metal""}"
a24377fa-7bf1-4667-95fa-7e7f03925f1b,"{""headboard"": ""wood"", ""cushion"": ""leather"", ""bedskirt"": ""leather"", ""duvet"": ""fabric"", ""mattress"": ""fabric"", ""leg"": ""metal"", ""pillow"": ""leather""}"
c1e6978b-6ce2-429c-bdc4-2f02f9236ae7,"{""leg"": ""metal"", ""headboard"": ""wood"", ""base"": ""metal"", ""bedskirt"": ""leather"", ""duvet"": ""fabric"", ""mattress"": ""fabric"", ""support"": ""metal"", ""pillow"": ""fabric""}"
a41c13f3-3b11-4987-ab3f-b7bcf6ee6118,"{""head"": ""plastic"", ""container"": ""ceramic"", ""containing_things"": ""plastic"", ""base"": ""ceramic""}"
33ea66bb-7afa-4116-b351-794091dd4587,"{""head"": ""metal"", ""container"": ""ceramic"", ""containing_things"": ""metal"", ""base"": ""metal""}"
485586ed-7737-418d-bf95-2a0b9fb3b6ec,"{""pillow"": ""fabric"", ""leg"": ""metal"", ""base"": ""metal"", ""mattress"": ""fabric"", ""support"": ""metal"", ""headboard"": ""wood""}"
5ad7a36f-1076-41aa-a9e9-8c47ad01e530,"{""head"": ""plastic"", ""container"": ""ceramic"", ""base"": ""ceramic"", ""containing_things"": ""plastic""}"
bc02c3e5-8a1a-4b53-a9f0-2b880840e854,"{""handle"": ""metal"", ""top_panel"": ""wood"", ""shelf"": ""wood"", ""support"": ""wood"", ""wheel"": ""metal""}"
03d11bc8-60dc-4b8f-9c0c-1fb9830472ae,"{""container"": ""ceramic"", ""head"": ""metal"", ""containing_things"": ""metal""}"
8caebdfd-486d-40e9-8abc-80658f324b64,"{""base"": ""metal"", ""socket"": ""metal"", ""rod"": ""metal"", ""support"": ""metal"", ""bulb"": ""glass"", ""arm"": ""metal"", ""shade_cloth"": ""fabric""}"
d894176a-f3d2-47a8-9028-b09ed3d40cf0,"{""mattress"": ""fabric"", ""leg"": ""metal"", ""headboard"": ""wood"", ""pillow"": ""leather"", ""duvet"": ""fabric"", ""base"": ""metal""}"
